PlatformNumber,StationName,Longitude,Latitude
1011,Slussen,18.0722144999281,59.3196442047035
1012,Slussen,18.0722304239105,59.3196258562035
1021,Gamla stan,18.0671617033001,59.3234014331035
1022,Gamla stan,18.0670834235735,59.3233776872055
1051,T-Centralen,18.0608759201829,59.3315755042989
1052,T-Centralen,18.0617136935249,59.3313353009636
1111,Hötorget,18.0629635851674,59.3356060415282
1112,Hötorget,18.0629641802656,59.3356150110979
1121,Rådmansgatan,18.0578994257094,59.3408840007015
1122,Rådmansgatan,18.0579163909249,59.3408747277353
1131,Odenplan,18.0486006570919,59.3427594713838
1132,Odenplan,18.0487066097207,59.3427666282387
1141,S:t Eriksplan,18.0374161430336,59.3402934026792
1142,S:t Eriksplan,18.0374155545597,59.3402844329592
1151,Fridhemsplan,18.0314880483801,59.3329774570606
1152,Fridhemsplan,18.0315980746036,59.3330474163996
1161,Thorildsplan,18.0158378154946,59.3314927232726
1162,Thorildsplan,18.0158735076154,59.3315010977738
1171,Kristineberg,18.0031233049855,59.3327224102678
1172,Kristineberg,18.003070638336,59.3327232981679
1201,Alvik,17.9813295834273,59.3335280089945
1202,Alvik,17.9812769147661,59.3335288880974
1211,Stora mossen,17.9653558320959,59.3346646732361
1212,Stora mossen,17.9653388444492,59.3346739342857
1221,Abrahamsberg,17.9531728536484,59.3365630909855
1222,Abrahamsberg,17.9531728536484,59.3365630909855
1231,Brommaplan,17.9396416118668,59.3382848826814
1232,Brommaplan,17.9396416118668,59.3382848826814
1241,Åkeshov,17.9235994612101,59.3420525315014
1242,Åkeshov,17.9232965372053,59.3422120873841
1243,Åkeshov,17.9234636288509,59.3421094943476
1244,Åkeshov,17.9233621399252,59.3421567006302
1251,Ängbyplan,17.9070871163572,59.3419565156307
1252,Ängbyplan,17.9071743692725,59.3419461297905
1261,Islandstorget,17.8932718445772,59.3459947012697
1262,Islandstorget,17.8932191536005,59.3459955449046
1271,Blackeberg,17.8828507976348,59.3483700573461
1272,Blackeberg,17.8828507976348,59.3483700573461
1281,Råcksta,17.8816258413569,59.3545134760031
1282,Råcksta,17.8816247459346,59.3544955347674
1301,Vällingby,17.8720117901697,59.3632773225026
1302,Vällingby,17.8720112448046,59.3632683518425
1303,Vällingby,17.872130436756,59.3632036083637
1304,Vällingby,17.872113954753,59.3632218280982
1311,Johannelund,17.8581326256469,59.3679232409668
1312,Johannelund,17.8581502010255,59.3679229644215
1321,Hässelby gård,17.8442877712687,59.3670448853005
1322,Hässelby gård,17.8443948361943,59.3670701496289
1331,Hässelby strand,17.8324667161437,59.3617428105017
1332,Hässelby strand,17.8324667161437,59.3617428105017
1511,Medborgarplatsen,18.0734709451535,59.3148697338579
1512,Medborgarplatsen,18.0734024006383,59.3148893246955
1521,Skanstull,18.0760943511223,59.3084993142451
1522,Skanstull,18.0761118889051,59.308498899846
1551,Gullmarsplan,18.080969851014,59.299184584465
1552,Gullmarsplan,18.0809861903913,59.2991663390987
1553,Gullmarsplan,18.080984393451,59.2991394305727
1554,Gullmarsplan,18.081001331783,59.2991301547131
1601,Skärmarbrink,18.0903639324155,59.2952665051917
1602,Skärmarbrink,18.0903639324155,59.2952665051917
1603,Skärmarbrink,18.09033006469,59.2952850592988
1604,Skärmarbrink,18.0903469985574,59.2952757822463
1611,Globen,18.078006656399,59.294243451714
1612,Globen,18.0780247893166,59.294252115313
1621,Enskede gård,18.070359269782,59.2890605223369
1622,Enskede gård,18.0704252270884,59.2889965156478
1631,Sockenplan,18.0708746681109,59.283609704603
1632,Sockenplan,18.0709115148968,59.2836360034953
1641,Svedmyra,18.0679591281672,59.2780209787806
1642,Svedmyra,18.0679404114574,59.2780033440723
1651,Stureby,18.0555927213696,59.2746253315278
1652,Stureby,18.0556984632271,59.2746324840486
1661,Bandhagen,18.0496663734483,59.270417254619
1662,Bandhagen,18.0496470803429,59.2703906474368
1701,Högdalen,18.0430377645113,59.2637694810849
1702,Högdalen,18.0429454613986,59.2636992283806
1703,Högdalen,18.0429454613986,59.2636992283806
1704,Högdalen,18.043016841192,59.2639853583512
1711,Rågsved,18.0284423903572,59.2567278828953
1712,Rågsved,18.0282806560788,59.2566677858854
1721,Hagsätra,18.0133647845506,59.2616540154908
1722,Hagsätra,18.0134509897661,59.2619691263941
1811,Blåsut,18.0911610763079,59.2911845751744
1812,Blåsut,18.0911411373577,59.2911490050422
1821,Sandsborg,18.0919325152121,59.2856752641236
1822,Sandsborg,18.0919325152121,59.2856752641236
1831,Skogskyrkogården,18.0955186440715,59.2789670265301
1832,Skogskyrkogården,18.0955186440715,59.2789670265301
1841,Tallkrogen,18.0855632676107,59.2712662580554
1842,Tallkrogen,18.0855270227248,59.27124893277
1851,Gubbängen,18.0821386289724,59.2633249972723
1852,Gubbängen,18.0821386289724,59.2633249972723
1861,Hökarängen,18.0824977977387,59.2579307022309
1862,Hökarängen,18.0825147154585,59.2579214262491
1871,Farsta,18.092523545461,59.2448000410183
1872,Farsta,18.0924877231559,59.2447919064685
1881,Farsta strand,18.101218074297,59.2354625805145
1882,Farsta strand,18.1011989450244,59.2354450636604
1911,Hammarbyhöjden,18.1045842465346,59.294746875104
1912,Hammarbyhöjden,18.1045316422299,59.2947478036316
1921,Björkhagen,18.1153458345701,59.2916379461619
1922,Björkhagen,18.1153301250471,59.2916651650232
1931,Kärrtorp,18.1144927799517,59.2844869642383
1932,Kärrtorp,18.1144782877879,59.2845321216461
1941,Bagarmossen,18.1312183278628,59.2762889416262
1942,Bagarmossen,18.1312133843783,59.2762351405401
1951,Skarpnäck,18.134049465913,59.2673598910998
1952,Skarpnäck,18.1332054270572,59.266580408668
2011,Slussen,18.0719583631803,59.3195334246166
2012,Slussen,18.0715024586738,59.3194556861668
2021,Gamla stan,18.0669571281587,59.3231470161427
2022,Gamla stan,18.0671813093383,59.3231676153901
2051,T-Centralen,18.0616422517176,59.3312968883521
2052,T-Centralen,18.0614328273062,59.3313401623502
2101,Östermalmstorg,18.0763846822514,59.3349688288931
2102,Östermalmstorg,18.0763846822514,59.3349688288931
2111,Karlaplan,18.0919988929416,59.3389882957986
2112,Karlaplan,18.0919988929416,59.3389882957986
2121,Gärdet,18.0989717802475,59.3451607693221
2122,Gärdet,18.0989905507094,59.3451783990697
2131,Ropsten,18.1030754913324,59.3574988438994
2132,Ropsten,18.1023655334233,59.357403590776
2211,Stadion,18.0819427479138,59.3408076157474
2212,Stadion,18.0819421476895,59.3407986463025
2221,Tekniska högskolan,18.0693156587543,59.3465411447573
2222,Tekniska högskolan,18.0693332206442,59.3465408398297
2231,Universitetet,18.0548947967027,59.365361017987
2232,Universitetet,18.0548942030299,59.3653520484087
2241,Bergshamra,18.0374860876312,59.3807370943552
2242,Bergshamra,18.0375024886927,59.3807188542825
2251,Danderyds sjukhus,18.0417548416149,59.3905058082911
2252,Danderyds sjukhus,18.0418399519128,59.3907288434582
2301,Mörby centrum,18.0364235120228,59.3983196270836
2302,Mörby centrum,18.0368913403574,59.3982038728158
2511,Mariatorget,18.0621173620111,59.317014373907
2512,Mariatorget,18.0621173620111,59.317014373907
2521,Zinkensdamm,18.0496904097639,59.3177049160947
2522,Zinkensdamm,18.0497079570178,59.317704613899
2531,Hornstull,18.0355402102693,59.3159632980205
2532,Hornstull,18.0353974885541,59.3159298211534
2601,Liljeholmen,18.0231848932682,59.3107413850728
2602,Liljeholmen,18.023094837298,59.3107069986744
2603,Liljeholmen,18.023094837298,59.3107069986744
2604,Liljeholmen,18.0229328538018,59.3106468969671
2605,Liljeholmen,18.0229147259012,59.3106382256871
2611,Aspudden,18.0018439972976,59.3063615665497
2612,Aspudden,18.0017913713571,59.3063624536944
2621,Örnsberg,17.9891406576894,59.3054346744698
2622,Örnsberg,17.9891225410922,59.3054259984142
2631,Axelsberg,17.9755693156565,59.3043773365361
2632,Axelsberg,17.9754640680616,59.3043790895455
2641,Mälarhöjden,17.957741811607,59.3012518260086
2642,Mälarhöjden,17.9576693858726,59.3012171040453
2651,Bredäng,17.9360054919783,59.2948025999799
2652,Bredäng,17.9360405655615,59.2948020263333
2701,Sätra,17.9210937554179,59.2850604023792
2702,Sätra,17.9210564652141,59.2850250899923
2703,Sätra,17.9214218523771,59.2849742566573
2704,Sätra,17.9216135898457,59.2849531824229
2711,Skärholmen,17.9070656617613,59.2769904614008
2712,Skärholmen,17.907030605839,59.2769910271436
2721,Vårberg,17.8901054830793,59.2759430857457
2722,Vårberg,17.8902468005107,59.2759587823212
2731,Vårby gård,17.8847136838613,59.2643380474581
2732,Vårby gård,17.8846468762987,59.2643929911102
2741,Masmo,17.8813985689491,59.2499160692218
2742,Masmo,17.8813454805367,59.2499079364721
2751,Fittja,17.8610002461975,59.2474292520423
2752,Fittja,17.8610549460239,59.2474643057917
2761,Alby,17.8454440837609,59.2393860393184
2762,Alby,17.8453740463836,59.2393871371967
2763,Alby,17.8452532554863,59.2397122881938
2771,Hallunda,17.8252597674357,59.2433285243852
2772,Hallunda,17.8252422558522,59.2433287961536
2781,Norsborg,17.8155385869142,59.2437394272553
2782,Norsborg,17.8145101334601,59.2438361207694
2811,Midsommarkransen,18.0119663033992,59.3018622871211
