Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2019/20

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Ale;1440;Västra Götalands län;14;Samtliga;Samtliga;395;86,3;84,1;82,8;80,5;13,7;
Ale;1440;Västra Götalands län;14;Kommunal;Samtliga;372;86,3;84,4;83,1;80,6;13,7;
Ale;1440;Västra Götalands län;14;Enskild;Samtliga;23;~100;78,3;78,3;78,3;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;Samtliga;516;91,5;90,3;89,1;88,0;8,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Samtliga;412;90,5;89,6;88,3;87,6;9,5;
Alingsås;1489;Västra Götalands län;14;Enskild;Samtliga;104;95,2;93,3;92,3;89,4;..;
Alvesta;0764;Kronobergs län;07;Samtliga;Samtliga;267;80,5;80,5;79,4;76,4;19,5;
Alvesta;0764;Kronobergs län;07;Kommunal;Samtliga;267;80,5;80,5;79,4;76,4;19,5;
Aneby;0604;Jönköpings län;06;Samtliga;Samtliga;56;82,1;80,4;78,6;75,0;17,9;
Aneby;0604;Jönköpings län;06;Kommunal;Samtliga;56;82,1;80,4;78,6;75,0;17,9;
Arboga;1984;Västmanlands län;19;Samtliga;Samtliga;152;78,9;75,0;73,7;68,4;21,1;
Arboga;1984;Västmanlands län;19;Kommunal;Samtliga;152;78,9;75,0;73,7;68,4;21,1;
Arjeplog;2506;Norrbottens län;25;Samtliga;Samtliga;24;100,0;100,0;100,0;100,0;.;
Arjeplog;2506;Norrbottens län;25;Kommunal;Samtliga;24;100,0;100,0;100,0;100,0;.;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Samtliga;66;89,4;89,4;89,4;87,9;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Samtliga;66;89,4;89,4;89,4;87,9;..;
Arvika;1784;Värmlands län;17;Samtliga;Samtliga;283;87,6;86,9;86,9;85,2;12,4;
