"Antal personer efter region, utländsk/svensk bakgrund och år"

"region","utländsk/svensk bakgrund","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0980 Gotland","svensk bakgrund",54646,54722,54800,54568,54303,54059,53879,53984,53947,53922,53754,53604,53570,53469,53567,53822,54015,54179,54464
"1060 Olofström","utländsk bakgrund",2980,2995,2986,2966,2978,2973,3026,3046,3040,3041,3152,3245,3461,3674,4002,4114,4220,4219,4158
"1060 Olofström","svensk bakgrund",10657,10546,10538,10425,10377,10225,10141,10056,9948,9835,9744,9657,9570,9496,9415,9368,9296,9207,9153
"1080 Karlskrona","utländsk bakgrund",4321,4466,4742,5057,5573,6215,6778,7432,8010,8207,7773,8057,8582,9509,10282,10696,10780,10983,10930
"1080 Karlskrona","svensk bakgrund",56355,56391,56395,56326,56271,56123,56026,55910,56022,56008,55918,55855,55766,55871,55980,55970,55895,55639,55585
"1081 Ronneby","utländsk bakgrund",2405,2456,2498,2674,2873,3075,3241,3444,3560,3421,3514,3738,4176,4855,5509,6038,6358,6491,6343
"1081 Ronneby","svensk bakgrund",26067,25831,25785,25684,25570,25416,25248,24972,24694,24489,24274,24133,24045,23842,23698,23530,23337,23142,23029
"1082 Karlshamn","utländsk bakgrund",2330,2412,2537,2673,2881,2969,3076,3190,3385,3537,3721,3985,4308,4598,5033,5291,5535,5774,5858
"1082 Karlshamn","svensk bakgrund",28409,28367,28310,28333,28298,28083,27883,27728,27758,27648,27411,27287,27290,27248,27097,26909,26795,26699,26544
"1083 Sölvesborg","utländsk bakgrund",1522,1551,1630,1643,1739,1854,1909,1969,2000,2010,2046,2075,2244,2392,2620,2665,2673,2651,2576
"1083 Sölvesborg","svensk bakgrund",14829,14874,14914,14915,14876,14967,14931,14844,14810,14783,14762,14725,14715,14768,14817,14790,14795,14801,14880
"1214 Svalöv","utländsk bakgrund",1464,1526,1589,1616,1661,1742,1817,1897,1950,1992,2073,2217,2371,2576,2828,2928,3065,3237,3264
"1214 Svalöv","svensk bakgrund",11241,11307,11384,11396,11394,11401,11367,11393,11292,11258,11202,11115,11089,11079,11091,11097,11058,11031,11012
"1230 Staffanstorp","utländsk bakgrund",2135,2167,2179,2252,2421,2604,2772,2953,3035,3091,3172,3288,3443,3545,3815,4129,4399,4849,5159
"1230 Staffanstorp","svensk bakgrund",17975,18071,18215,18350,18419,18604,18895,18996,19224,19205,19362,19384,19551,19574,19785,20038,20325,20547,20724
"1231 Burlöv","utländsk bakgrund",3797,3877,4049,4269,4699,5056,5419,5778,6038,6156,6386,6529,6791,7062,7327,7810,8138,8671,8784
"1231 Burlöv","svensk bakgrund",11529,11380,11246,11051,10963,10896,10811,10731,10663,10687,10625,10585,10420,10368,10319,10263,10222,10441,10528
"1233 Vellinge","utländsk bakgrund",2036,2083,2128,2275,2430,2597,2753,2874,2930,3037,3103,3167,3263,3417,3661,3944,4176,4165,4227
"1233 Vellinge","svensk bakgrund",29051,29217,29468,29447,29840,29968,30090,30288,30373,30473,30512,30640,30847,31250,31596,31846,32323,32463,32688
"1256 Östra Göinge","utländsk bakgrund",1133,1171,1155,1209,1276,1270,1251,1262,1379,1420,1532,1749,2004,2396,2852,3177,3418,3534,3543
"1256 Östra Göinge","svensk bakgrund",12954,12876,12823,12782,12610,12558,12411,12264,12211,12183,12088,11938,11860,11706,11554,11538,11497,11473,11474
"1257 Örkelljunga","utländsk bakgrund",1064,1119,1162,1234,1278,1380,1395,1478,1534,1582,1620,1652,1737,1834,1981,2043,2179,2303,2366
"1257 Örkelljunga","svensk bakgrund",8355,8364,8338,8319,8251,8197,8197,8161,8097,8081,8035,8001,7996,7997,7977,8004,7995,7977,8085
"1260 Bjuv","utländsk bakgrund",2499,2579,2720,2761,2959,3193,3386,3545,3660,3728,3751,3731,3889,4090,4414,4754,4952,5175,5272
"1260 Bjuv","svensk bakgrund",11175,11231,11172,11246,11240,11277,11227,11268,11181,11123,11115,11070,11005,10872,10788,10675,10549,10540,10425
"1261 Kävlinge","utländsk bakgrund",2095,2194,2251,2328,2519,2584,2679,2784,2905,2983,3064,3107,3267,3416,3640,3888,4153,4273,4425
"1261 Kävlinge","svensk bakgrund",23096,23345,23773,24376,24850,25162,25576,25854,26108,26278,26363,26493,26541,26688,26892,27071,27338,27432,27595
"1262 Lomma","utländsk bakgrund",1392,1412,1473,1500,1557,1673,1781,1874,1987,2035,2112,2159,2255,2331,2524,2715,2974,3108,3101
"1262 Lomma","svensk bakgrund",16775,16899,17122,17354,17877,18350,18668,19191,19572,19982,20186,20337,20691,20993,21363,21549,21789,21726,21775
"1263 Svedala","utländsk bakgrund",1514,1538,1616,1650,1814,1898,2025,2115,2190,2219,2261,2308,2348,2473,2722,2966,3221,3482,3729
"1263 Svedala","svensk bakgrund",16637,16731,16925,17066,17174,17251,17365,17510,17632,17586,17710,17759,17900,17989,18049,18108,18355,18747,18936
"1264 Skurup","utländsk bakgrund",1214,1299,1372,1433,1582,1716,1765,1820,1854,1847,1881,1949,2032,2086,2301,2486,2577,2669,2737
"1264 Skurup","svensk bakgrund",12735,12800,12871,12982,13121,13072,13019,13047,13127,13099,13074,13076,13135,13063,13107,13156,13182,13220,13305
"1265 Sjöbo","utländsk bakgrund",1037,1137,1229,1314,1435,1560,1611,1702,1757,1809,1859,1942,2029,2090,2216,2361,2428,2477,2548
"1265 Sjöbo","svensk bakgrund",15990,16062,16175,16187,16286,16455,16482,16451,16355,16334,16431,16459,16386,16424,16526,16710,16725,16749,16864
"1266 Hörby","utländsk bakgrund",1087,1144,1201,1251,1405,1503,1640,1716,1788,1821,1895,1931,2013,2089,2249,2454,2487,2480,2448
"1266 Hörby","svensk bakgrund",12862,12907,13015,13023,13135,13081,13117,13046,13052,13080,13063,12986,12914,12931,13034,13098,13148,13151,13205
"1267 Höör","utländsk bakgrund",1354,1389,1510,1556,1626,1715,1810,1844,1930,1973,2016,2028,2053,2105,2235,2366,2462,2482,2508
"1267 Höör","svensk bakgrund",12815,12889,13010,13048,13151,13209,13229,13417,13530,13519,13510,13609,13717,13865,13957,14112,14175,14231,14322
"1270 Tomelilla","utländsk bakgrund",841,895,925,959,1053,1111,1222,1292,1337,1372,1474,1502,1573,1707,1860,1956,2083,2192,2182
"1270 Tomelilla","svensk bakgrund",11606,11620,11636,11723,11666,11661,11594,11644,11577,11558,11443,11389,11434,11425,11470,11460,11474,11425,11481
"1272 Bromölla","utländsk bakgrund",1178,1165,1202,1256,1312,1396,1484,1522,1578,1703,1735,1821,1937,2073,2236,2369,2588,2667,2708
"1272 Bromölla","svensk bakgrund",10844,10829,10878,10842,10833,10785,10716,10763,10694,10663,10515,10515,10463,10440,10389,10330,10288,10203,10051
"1273 Osby","utländsk bakgrund",1107,1202,1229,1239,1330,1435,1564,1607,1685,1800,1832,1890,2031,2176,2428,2594,2727,2765,2794
"1273 Osby","svensk bakgrund",11530,11505,11396,11361,11304,11188,11084,11049,11039,10899,10805,10823,10797,10778,10721,10588,10540,10443,10404
"1275 Perstorp","utländsk bakgrund",1134,1168,1174,1220,1261,1346,1411,1489,1606,1659,1627,1699,1765,1834,2051,2084,2290,2361,2416
"1275 Perstorp","svensk bakgrund",5655,5637,5719,5666,5637,5584,5561,5494,5455,5500,5469,5440,5409,5377,5287,5251,5189,5131,5060
"1276 Klippan","utländsk bakgrund",1805,1957,1972,2020,2119,2261,2445,2587,2693,2744,2740,2816,2943,3120,3494,3739,3977,4142,4169
"1276 Klippan","svensk bakgrund",13940,14006,14026,14028,13987,13993,13891,13795,13822,13857,13920,13899,13790,13797,13725,13723,13623,13614,13569
"1277 Åstorp","utländsk bakgrund",2344,2469,2540,2672,2930,3164,3427,3532,3663,3715,3871,4020,4192,4436,4822,5185,5319,5391,5610
"1277 Åstorp","svensk bakgrund",10806,10857,10849,10869,10955,11069,11106,11135,11074,11074,10935,10907,10869,10757,10706,10643,10668,10549,10453
"1278 Båstad","utländsk bakgrund",1169,1190,1179,1217,1289,1356,1448,1505,1577,1603,1695,1751,1871,1963,2165,2331,2403,2476,2554
"1278 Båstad","svensk bakgrund",12840,12898,12843,12827,12881,12886,12755,12764,12701,12627,12568,12524,12548,12410,12449,12465,12545,12652,12859
"1280 Malmö","utländsk bakgrund",84840,87300,90416,93520,99236,104633,109884,115830,120117,123531,127613,131590,135509,139240,144718,150303,155913,160711,164257
"1280 Malmö","svensk bakgrund",180641,179871,178726,177751,177008,176168,176651,178079,178846,179304,180145,181404,182598,183334,183776,183330,183400,183455,183692
"1281 Lund","utländsk bakgrund",17195,17733,17852,18392,18938,20119,21577,22837,23734,24393,25215,26099,27170,27576,29088,31308,33108,34580,35362
"1281 Lund","svensk bakgrund",83207,83262,83571,83865,84348,85167,85774,86310,86754,87273,87735,88192,88798,89258,89454,89966,89840,90355,90579
"1282 Landskrona","utländsk bakgrund",9580,9902,10266,10707,11378,11831,12441,12818,13174,13411,13765,14273,14791,15227,15770,16392,16698,16971,17070
"1282 Landskrona","svensk bakgrund",28895,28756,28773,28639,28640,28588,28419,28408,28550,28778,28795,28800,28783,28734,28841,28894,29077,29119,29235
"1283 Helsingborg","utländsk bakgrund",24172,24906,25736,26543,27869,29501,31026,32529,33489,34663,36229,37340,39402,41860,44358,47253,49690,52036,53797
"1283 Helsingborg","svensk bakgrund",95234,95248,95443,95519,95520,95485,95728,95830,95688,95963,95782,95649,95942,96049,96189,96051,95725,95698,95483
"1284 Höganäs","utländsk bakgrund",2251,2338,2368,2475,2603,2716,2840,2946,3047,3170,3257,3339,3477,3655,3944,4139,4354,4568,4633
"1284 Höganäs","svensk bakgrund",20539,20665,20767,21007,21254,21349,21408,21534,21590,21528,21606,21745,21821,21955,21903,22054,22212,22374,22535
"1285 Eslöv","utländsk bakgrund",4247,4400,4556,4740,4954,5225,5457,5590,5813,6025,6084,6212,6543,6801,7265,7739,8140,8463,8868
"1285 Eslöv","svensk bakgrund",24738,25000,25184,25347,25483,25550,25666,25679,25774,25703,25660,25708,25636,25637,25613,25497,25417,25330,25255
"1286 Ystad","utländsk bakgrund",2109,2214,2296,2345,2440,2542,2590,2663,2737,2803,2881,2950,3039,3166,3535,3674,3901,3982,4105
"1286 Ystad","svensk bakgrund",24274,24441,24602,24775,24958,25177,25280,25446,25601,25624,25677,25673,25732,25819,25913,26174,26325,26559,26865
"1287 Trelleborg","utländsk bakgrund",5896,5995,6157,6325,6731,7066,7366,7641,7782,7961,8073,8288,8543,8842,9190,9753,10109,10468,10750
"1287 Trelleborg","svensk bakgrund",32863,33115,33320,33505,33589,33953,34192,34250,34437,34581,34532,34549,34430,34517,34723,34842,34793,34972,35127
"1290 Kristianstad","utländsk bakgrund",8606,9209,9593,9987,10729,11563,12387,13217,14026,14599,15193,15966,16919,17735,18575,19624,20381,21298,22073
"1290 Kristianstad","svensk bakgrund",66345,66085,65999,65928,65811,65682,65590,65571,65517,65331,65314,65043,64907,64775,64616,64527,64527,64449,64144
"1291 Simrishamn","utländsk bakgrund",1353,1447,1485,1550,1641,1635,1730,1820,1873,1865,1925,2045,2206,2433,2897,2926,2931,2939,2922
"1291 Simrishamn","svensk bakgrund",18053,18052,17985,17875,17777,17671,17626,17508,17424,17282,17072,16906,16699,16632,16588,16450,16347,16235,16305
"1292 Ängelholm","utländsk bakgrund",3411,3489,3587,3696,3828,3980,4134,4326,4534,4703,4851,5059,5284,5516,5912,6348,6597,6799,6958
"1292 Ängelholm","svensk bakgrund",34295,34370,34553,34651,34854,34769,34720,34757,34860,34923,34891,34807,34945,35216,35424,35438,35534,35677,35952
"1293 Hässleholm","utländsk bakgrund",4819,5033,5349,5588,5913,6478,6849,7062,7298,7521,7762,8041,8538,9086,9901,10423,10803,11061,11174
"1293 Hässleholm","svensk bakgrund",43717,43754,43596,43560,43468,43302,43157,42974,42809,42643,42401,42186,42027,41962,41766,41580,41318,41084,40836
"1315 Hylte","utländsk bakgrund",1459,1512,1605,1602,1716,1719,1850,1943,1983,2070,2096,2198,2497,2833,3313,3461,3466,3468,3357
"1315 Hylte","svensk bakgrund",8942,8865,8827,8766,8655,8538,8423,8334,8194,8056,7936,7803,7781,7681,7641,7529,7448,7347,7292
"1380 Halmstad","utländsk bakgrund",13568,14028,14293,14607,15117,15681,16226,16734,17222,17562,18098,18731,19922,21091,22393,23461,24771,25948,26784
"1380 Halmstad","svensk bakgrund",73017,73344,73636,73617,73841,74046,74015,74353,74578,74732,75133,75353,75610,75861,76145,76291,76497,76819,76970
"1381 Laholm","utländsk bakgrund",1931,2020,2089,2142,2247,2391,2491,2585,2722,2779,2812,2881,3206,3610,4013,4379,4586,4841,4849
"1381 Laholm","svensk bakgrund",20819,20863,20866,20895,20906,20798,20767,20760,20668,20691,20646,20636,20575,20585,20651,20768,20905,21062,21118
"1382 Falkenberg","utländsk bakgrund",4185,4313,4523,4599,4805,5080,5283,5393,5586,5760,5888,6293,6598,7048,7841,8009,8326,8731,9088
"1382 Falkenberg","svensk bakgrund",34711,34832,34915,35006,35069,35084,35168,35346,35422,35544,35535,35619,35835,35901,36026,36186,36375,36636,36963
"1383 Varberg","utländsk bakgrund",4794,4922,5024,5160,5331,5552,5698,6009,6243,6397,6599,6917,7127,7433,7879,8318,8728,9172,9422
"1383 Varberg","svensk bakgrund",48552,48970,49314,49657,50128,50562,50975,51430,51841,52179,52587,53019,53295,53597,53989,54437,54902,55429,55975
"1384 Kungsbacka","utländsk bakgrund",4654,4780,4894,5007,5202,5300,5446,5660,5835,6058,6276,6515,6752,7063,7469,8224,8886,9328,9528
"1384 Kungsbacka","svensk bakgrund",61919,62873,63802,64810,65842,66642,67230,68278,69190,69896,70510,70875,71467,72081,72973,73762,74462,75067,75402
"1401 Härryda","utländsk bakgrund",3728,3856,3966,4011,4097,4255,4363,4413,4490,4558,4636,4773,4887,5023,5299,5545,5905,6024,6202
"1401 Härryda","svensk bakgrund",27116,27352,27710,28038,28298,28714,29217,29594,29973,30296,30587,30959,31404,31628,31809,31867,31897,31953,32044
"1402 Partille","utländsk bakgrund",5409,5571,5644,5838,6018,6121,6303,6591,6786,6917,7138,7363,7580,7941,8300,8863,9390,10048,10437
"1402 Partille","svensk bakgrund",27679,27621,27637,27705,27596,27578,27499,27791,28298,28601,28699,28784,28948,29036,29016,29017,29053,29241,29075
"1407 Öckerö","utländsk bakgrund",536,541,536,547,566,560,598,596,615,618,631,666,688,724,815,931,1029,1041,1025
"1407 Öckerö","svensk bakgrund",11445,11540,11611,11684,11663,11696,11652,11696,11834,11869,11908,11908,11957,11958,11958,11992,11916,11875,11909
"1415 Stenungsund","utländsk bakgrund",2108,2177,2228,2229,2266,2363,2420,2483,2561,2659,2692,2767,2858,2992,3200,3464,3645,3812,3915
"1415 Stenungsund","svensk bakgrund",19647,20114,20514,20718,20924,21026,21237,21500,21731,21942,22176,22165,22417,22516,22615,22760,22858,22965,23129
"1419 Tjörn","utländsk bakgrund",952,954,987,1026,1026,1025,1044,1092,1077,1120,1183,1263,1302,1346,1455,1560,1663,1736,1779
"1419 Tjörn","svensk bakgrund",13874,13937,14032,13996,13928,13919,13919,13869,13878,13839,13791,13787,13833,13969,14129,14230,14259,14280,14368
"1421 Orust","utländsk bakgrund",877,907,919,916,935,988,1016,1082,1072,1108,1137,1167,1222,1272,1388,1472,1507,1565,1617
"1421 Orust","svensk bakgrund",14236,14253,14241,14272,14250,14385,14311,14226,14149,14021,13946,13869,13832,13738,13705,13636,13603,13653,13698
"1427 Sotenäs","utländsk bakgrund",630,622,630,627,667,698,698,752,757,782,815,831,827,852,955,999,1056,1113,1094
"1427 Sotenäs","svensk bakgrund",8837,8737,8706,8684,8616,8582,8472,8360,8295,8225,8189,8097,8104,8154,8110,8074,7974,7948,8006
"1430 Munkedal","utländsk bakgrund",737,783,779,789,833,869,895,936,921,993,993,1038,1126,1178,1394,1451,1525,1529,1611
"1430 Munkedal","svensk bakgrund",9697,9622,9539,9495,9413,9387,9350,9310,9260,9230,9180,9167,9117,9027,8967,8972,8978,8984,8971
"1435 Tanum","utländsk bakgrund",1029,1083,1114,1115,1147,1167,1198,1240,1313,1346,1364,1386,1412,1481,1627,1779,1884,1879,1869
"1435 Tanum","svensk bakgrund",11181,11205,11203,11137,11106,11079,11073,11013,11057,10974,10906,10917,10934,10974,10979,10984,10989,10962,11043
"1438 Dals-Ed","utländsk bakgrund",673,666,676,662,709,709,716,675,666,688,681,764,776,817,851,843,877,857,815
"1438 Dals-Ed","svensk bakgrund",4371,4348,4265,4229,4191,4126,4072,4054,4026,3991,3984,3976,3988,3982,3926,3920,3929,3956,3946
"1439 Färgelanda","utländsk bakgrund",433,460,499,485,506,558,601,628,673,687,676,689,698,769,904,917,933,966,978
"1439 Färgelanda","svensk bakgrund",6506,6381,6387,6339,6273,6212,6143,6063,5981,5919,5873,5831,5804,5726,5723,5675,5669,5671,5680
"1440 Ale","utländsk bakgrund",3916,4015,4151,4225,4353,4551,4690,4819,4846,4959,5092,5213,5440,5657,6094,6582,7044,7473,7798
"1440 Ale","svensk bakgrund",21919,21978,22137,22180,22447,22541,22633,22575,22596,22618,22750,22861,22983,23205,23455,23641,23882,23929,24070
"1441 Lerum","utländsk bakgrund",3588,3676,3790,3822,3957,4097,4189,4263,4328,4381,4508,4542,4665,4832,5090,5574,5855,6120,6237
"1441 Lerum","svensk bakgrund",31970,32214,32434,32684,33135,33614,33896,34038,34252,34407,34562,34777,35106,35349,35602,35936,36282,36448,36783
"1442 Vårgårda","utländsk bakgrund",1008,1055,1067,1087,1094,1174,1199,1223,1207,1227,1256,1314,1366,1450,1579,1709,1828,1939,2047
"1442 Vårgårda","svensk bakgrund",9660,9637,9613,9669,9802,9814,9777,9744,9736,9767,9774,9751,9723,9715,9716,9781,9830,9871,9899
"1443 Bollebygd","utländsk bakgrund",621,650,654,672,709,709,761,773,797,806,835,882,909,965,1062,1155,1243,1301,1280
"1443 Bollebygd","svensk bakgrund",7210,7241,7319,7414,7470,7484,7471,7480,7578,7550,7672,7680,7743,7834,8040,8107,8184,8194,8264
"1444 Grästorp","utländsk bakgrund",294,301,299,312,377,400,408,440,418,413,431,438,442,467,508,516,529,543,534
"1444 Grästorp","svensk bakgrund",5554,5534,5495,5450,5432,5431,5443,5417,5358,5261,5208,5203,5188,5177,5213,5234,5202,5150,5151
"1445 Essunga","utländsk bakgrund",331,336,338,332,359,355,377,420,430,428,459,473,503,524,554,567,620,657,670
"1445 Essunga","svensk bakgrund",5426,5400,5412,5385,5292,5283,5248,5181,5134,5065,5043,5021,5035,5066,5066,5080,5051,4997,5017
"1446 Karlsborg","utländsk bakgrund",256,279,292,291,302,344,351,378,391,381,401,474,501,539,700,753,754,727,724
"1446 Karlsborg","svensk bakgrund",6711,6644,6613,6607,6578,6506,6439,6406,6361,6341,6298,6283,6285,6225,6213,6201,6187,6213,6238
"1447 Gullspång","utländsk bakgrund",487,509,518,527,562,584,634,648,688,723,779,806,912,936,1066,1054,1111,1122,1096
"1447 Gullspång","svensk bakgrund",5278,5217,5135,5068,4944,4841,4737,4687,4603,4528,4442,4379,4328,4293,4241,4226,4182,4158,4073
"1452 Tranemo","utländsk bakgrund",1499,1509,1535,1561,1614,1676,1711,1734,1763,1853,1890,1933,2061,2099,2286,2392,2527,2619,2601
"1452 Tranemo","svensk bakgrund",10489,10378,10359,10243,10128,10074,10010,9888,9824,9753,9683,9598,9579,9520,9490,9449,9347,9317,9284
"1460 Bengtsfors","utländsk bakgrund",1024,1057,1034,1061,1130,1185,1230,1308,1346,1392,1420,1510,1586,1743,2113,2206,2244,2251,2164
"1460 Bengtsfors","svensk bakgrund",9492,9379,9301,9164,8950,8772,8667,8533,8445,8288,8168,8040,7970,7883,7827,7699,7602,7499,7427
"1461 Mellerud","utländsk bakgrund",956,1001,1037,1055,1169,1197,1203,1183,1226,1214,1224,1249,1379,1701,1913,1968,2022,2057,2055
"1461 Mellerud","svensk bakgrund",8851,8791,8691,8583,8454,8356,8239,8078,7953,7854,7722,7643,7557,7468,7410,7409,7332,7253,7257
"1462 Lilla Edet","utländsk bakgrund",1973,2016,2020,2008,2074,2117,2147,2140,2087,2071,2122,2245,2365,2468,2759,2939,3065,3164,3352
"1462 Lilla Edet","svensk bakgrund",11037,10967,10882,10881,10762,10718,10684,10633,10491,10469,10458,10584,10666,10710,10969,11022,10981,10945,10930
"1463 Mark","utländsk bakgrund",3560,3670,3739,3784,3852,3957,4085,4121,4303,4400,4490,4587,4751,4890,5228,5493,5778,5918,6097
"1463 Mark","svensk bakgrund",29455,29548,29617,29710,29742,29772,29722,29700,29542,29391,29273,29166,29136,29016,28990,28991,29003,28836,28799
"1465 Svenljunga","utländsk bakgrund",1048,1048,1109,1152,1189,1289,1318,1339,1415,1453,1465,1561,1647,1781,1961,1986,2080,2101,2150
"1465 Svenljunga","svensk bakgrund",9481,9397,9359,9278,9216,9142,8995,8952,8873,8829,8774,8738,8718,8725,8718,8673,8603,8679,8601
"1466 Herrljunga","utländsk bakgrund",878,878,885,897,904,942,989,1057,1079,1127,1155,1201,1260,1286,1384,1429,1473,1496,1473
"1466 Herrljunga","svensk bakgrund",8608,8562,8532,8408,8339,8362,8291,8291,8235,8157,8127,8073,8116,8063,8102,8056,8021,7968,7971
"1470 Vara","utländsk bakgrund",1024,1040,1062,1104,1133,1192,1221,1243,1303,1350,1366,1418,1501,1614,1782,1912,2005,2123,2262
"1470 Vara","svensk bakgrund",14985,14955,14964,14904,14828,14816,14647,14528,14459,14344,14191,14191,14096,14048,14006,14030,13947,13901,13834
"1471 Götene","utländsk bakgrund",992,993,1018,1052,1119,1205,1269,1326,1342,1360,1375,1407,1507,1583,1728,1736,1796,1821,1839
"1471 Götene","svensk bakgrund",11991,11999,11932,11827,11840,11851,11816,11860,11881,11774,11717,11621,11573,11577,11547,11506,11436,11386,11355
"1472 Tibro","utländsk bakgrund",1000,1063,1056,1095,1165,1195,1280,1309,1326,1370,1436,1518,1702,1880,2022,2109,2197,2272,2295
"1472 Tibro","svensk bakgrund",9624,9577,9516,9486,9506,9416,9382,9302,9234,9255,9237,9236,9162,9100,9048,9001,8971,8968,9002
"1473 Töreboda","utländsk bakgrund",595,632,676,715,755,813,793,810,808,828,903,947,1088,1297,1493,1537,1521,1604,1600
"1473 Töreboda","svensk bakgrund",8831,8780,8769,8755,8613,8563,8463,8445,8305,8235,8106,8045,7984,7996,7942,7877,7791,7689,7681
"1480 Göteborg","utländsk bakgrund",121458,124281,126879,129931,133876,137767,143119,148564,153842,159050,163340,168814,175520,181585,189303,197893,206481,214152,218530
"1480 Göteborg","svensk bakgrund",353463,353774,354531,355011,355881,355735,357078,358766,359909,361324,362749,364457,365625,366605,367337,366146,365387,365129,364526
"1481 Mölndal","utländsk bakgrund",8574,8846,8980,9265,9532,9875,10098,10420,10704,11068,11351,11628,12272,12691,13560,14706,15848,16600,17043
"1481 Mölndal","svensk bakgrund",48505,48677,48772,48969,49406,49555,49714,49961,50269,50269,50308,50350,50655,50649,50905,51415,52304,52764,52858
"1482 Kungälv","utländsk bakgrund",3446,3496,3553,3665,3740,3893,4041,4130,4206,4278,4365,4514,4666,4746,5014,5438,5933,6465,6730
"1482 Kungälv","svensk bakgrund",34466,34658,34704,35038,35159,35756,36227,36597,37035,37260,37388,37595,37668,37984,38275,38672,39153,39871,40320
"1484 Lysekil","utländsk bakgrund",1313,1353,1374,1401,1424,1463,1555,1594,1644,1651,1725,1830,1881,2057,2241,2377,2453,2475,2422
"1484 Lysekil","svensk bakgrund",13488,13445,13393,13256,13207,13170,13104,12941,12877,12747,12671,12539,12418,12407,12329,12244,12158,12080,11944
"1485 Uddevalla","utländsk bakgrund",6063,6194,6339,6564,6805,7066,7322,7568,7792,7989,8360,8821,9369,9996,10951,11575,12117,12689,13070
"1485 Uddevalla","svensk bakgrund",43620,43677,43729,43750,43702,43855,43864,43950,44076,44167,44170,44204,44148,44184,44213,44188,44142,44014,43717
"1486 Strömstad","utländsk bakgrund",2079,2125,2250,2343,2432,2488,2561,2629,2744,2917,3124,3305,3516,3695,3940,4095,4201,4278,4370
"1486 Strömstad","svensk bakgrund",9139,9108,9123,9164,9137,9070,9046,9061,9064,9093,9171,9175,9178,9159,9139,9123,9052,8940,8874
"1487 Vänersborg","utländsk bakgrund",3214,3375,3458,3534,3672,3854,4015,4119,4321,4482,4694,5125,5763,6377,7121,7408,7718,8028,8097
"1487 Vänersborg","svensk bakgrund",33811,33726,33647,33417,33351,33085,32976,32752,32536,32480,32274,32244,32127,32004,31834,31743,31693,31563,31527
"1488 Trollhättan","utländsk bakgrund",9630,9742,9971,10246,10759,11281,11738,12109,12643,12939,13345,14199,14730,15190,15853,16436,17049,17619,17950
"1488 Trollhättan","svensk bakgrund",43307,43178,43183,43056,43071,43019,42749,42764,42605,42560,42404,42374,42199,41902,41900,41802,41679,41439,41299
"1489 Alingsås","utländsk bakgrund",3327,3434,3502,3630,3806,3984,4148,4279,4374,4530,4734,4880,5133,5358,5638,5897,6201,6387,6479
"1489 Alingsås","svensk bakgrund",32000,32096,32259,32380,32675,32755,33099,33236,33422,33523,33621,33739,34055,34244,34407,34493,34869,35033,35123
"1490 Borås","utländsk bakgrund",19909,20438,20998,21616,22560,23261,23805,24631,25483,26100,26862,27869,28891,30313,31731,33137,34539,35863,36809
"1490 Borås","svensk bakgrund",78241,78067,77888,77709,77661,77724,77682,77827,77811,78006,78005,78126,78131,78175,78149,77889,77639,77316,76905
"1491 Ulricehamn","utländsk bakgrund",1858,1914,1965,2016,2154,2253,2453,2562,2663,2755,2867,2987,3083,3279,3564,3867,3993,4163,4184
"1491 Ulricehamn","svensk bakgrund",20441,20405,20377,20365,20282,20289,20253,20191,20175,20241,20148,20224,20161,20215,20323,20429,20452,20505,20520
"1492 Åmål","utländsk bakgrund",1226,1255,1312,1287,1335,1324,1382,1331,1352,1386,1453,1571,1762,2084,2344,2425,2513,2477,2433
"1492 Åmål","svensk bakgrund",11603,11599,11511,11450,11381,11265,11163,11103,10943,10840,10758,10658,10564,10517,10457,10286,10207,10133,10008
"1493 Mariestad","utländsk bakgrund",2287,2382,2436,2499,2591,2595,2673,2707,2752,2719,2815,2979,3011,3096,3271,3392,3489,3627,3623
"1493 Mariestad","svensk bakgrund",21456,21465,21461,21396,21342,21276,21152,21092,20989,21013,20924,20891,20910,20947,20944,20898,20883,20910,20890
"1494 Lidköping","utländsk bakgrund",2923,3023,3146,3242,3345,3433,3573,3652,3741,3852,3952,4083,4289,4452,4717,5049,5307,5502,5677
"1494 Lidköping","svensk bakgrund",34018,34102,34095,34138,34181,34340,34349,34337,34307,34331,34302,34331,34472,34557,34518,34457,34572,34587,34651
"1495 Skara","utländsk bakgrund",1576,1631,1731,1788,1878,1943,2081,2147,2191,2266,2368,2713,2937,3120,3518,3574,3719,3913,3973
"1495 Skara","svensk bakgrund",16735,16729,16776,16790,16717,16601,16437,16308,16123,15954,15913,15867,15810,15591,15461,15269,15110,14924,14722
"1496 Skövde","utländsk bakgrund",6363,6541,6736,6909,7096,7224,7489,7792,8046,8219,8413,8835,9166,9541,10053,10607,11120,11556,11928
"1496 Skövde","svensk bakgrund",43042,43200,43120,43071,43057,42973,43121,43192,43356,43542,43799,44024,43968,44014,44080,44368,44609,44810,44863
"1497 Hjo","utländsk bakgrund",496,512,507,550,551,568,588,627,630,644,676,686,715,814,854,893,924,951,954
"1497 Hjo","svensk bakgrund",8349,8332,8315,8299,8302,8241,8221,8232,8211,8146,8156,8119,8170,8169,8194,8200,8252,8259,8275
"1498 Tidaholm","utländsk bakgrund",923,977,993,1004,1066,1118,1163,1165,1185,1231,1274,1283,1439,1531,1646,1704,1755,1794,1767
