"Antal personer efter region, utländsk/svensk bakgrund och år"

"region","utländsk/svensk bakgrund","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"0184 Solna","utländsk bakgrund",14986,15183,15782,16627,17178,18213,19469,20715,21672,22924,23847,24802,25929,27354,28902,30601,31980,33262,34268
"0184 Solna","svensk bakgrund",42599,42811,43316,43948,44539,45105,45820,46194,46472,47022,47446,47938,48112,48804,49227,49106,48970,49167,48894
"0186 Lidingö","utländsk bakgrund",6422,6513,6586,6719,6894,7113,7327,7601,7860,8053,8224,8604,8827,9284,9814,10065,10470,10720,10619
"0186 Lidingö","svensk bakgrund",34770,34681,34821,35173,35427,35597,35784,35844,36157,36028,36210,36574,36638,37018,37039,37120,37348,37403,37386
"0187 Vaxholm","utländsk bakgrund",1044,1057,1077,1078,1124,1133,1190,1227,1260,1337,1374,1399,1436,1454,1512,1599,1669,1665,1618
"0187 Vaxholm","svensk bakgrund",8587,8668,8827,9045,9316,9467,9557,9774,9705,9804,9752,9789,9893,9926,10109,10232,10354,10338,10268
"0188 Norrtälje","utländsk bakgrund",5606,5691,5835,5887,6042,6253,6432,6604,6779,6910,7124,7309,7654,8169,8625,9341,9845,10286,10712
"0188 Norrtälje","svensk bakgrund",48096,48330,48531,48709,48794,48972,49096,49323,49301,49335,49510,49536,49914,50500,50795,51467,51924,52336,52961
"0191 Sigtuna","utländsk bakgrund",9426,9628,9775,9920,10206,10735,11325,12066,12736,13834,14799,15814,16729,17745,19124,20291,21591,22640,23603
"0191 Sigtuna","svensk bakgrund",26345,26400,26547,26791,26770,27058,27047,27153,27254,27495,27473,27558,27356,27041,27150,26855,26539,26324,25934
"0192 Nynäshamn","utländsk bakgrund",3178,3229,3254,3250,3430,3634,3792,4023,4245,4443,4689,4943,5075,5401,5688,6082,6364,6698,6954
"0192 Nynäshamn","svensk bakgrund",21350,21358,21416,21398,21562,21719,21707,21758,21787,21805,21883,21853,21966,22099,22064,22027,21926,21877,21857
"0305 Håbo","utländsk bakgrund",2770,2805,2859,2881,2913,3033,3133,3254,3347,3405,3481,3544,3579,3672,3931,4169,4438,4650,4641
"0305 Håbo","svensk bakgrund",15094,15310,15519,15688,15724,15898,16092,16198,16282,16310,16402,16424,16455,16607,16806,16914,17126,17284,17378
"0319 Älvkarleby","utländsk bakgrund",966,947,957,984,998,1005,1061,1107,1134,1193,1239,1275,1365,1544,1739,1753,1803,1831,1815
"0319 Älvkarleby","svensk bakgrund",8004,8081,8084,8096,8112,8090,8003,7961,7969,7896,7820,7857,7804,7749,7706,7649,7589,7626,7696
"0330 Knivsta","utländsk bakgrund",1251,1335,1368,1380,1439,1500,1594,1641,1696,1768,1886,1984,2104,2363,2577,2930,3246,3339,3502
"0330 Knivsta","svensk bakgrund",11335,11486,11691,11944,12158,12454,12665,12836,13028,13197,13393,13596,14001,14506,14746,15134,15474,15496,15604
"0331 Heby","utländsk bakgrund",1017,1048,1088,1079,1132,1174,1215,1287,1352,1385,1401,1500,1593,1694,1812,1913,1987,2134,2156
"0331 Heby","svensk bakgrund",12708,12663,12683,12555,12398,12318,12192,12068,12030,11996,11963,11950,11897,11900,11943,11941,11923,11913,11945
"0360 Tierp","utländsk bakgrund",1332,1421,1449,1528,1582,1675,1792,1871,1983,2060,2157,2250,2421,2672,2877,3116,3294,3356,3548
"0360 Tierp","svensk bakgrund",18756,18695,18612,18528,18361,18393,18361,18173,18142,18017,17999,17894,17824,17875,17867,17814,17833,17780,17779
"0380 Uppsala","utländsk bakgrund",31377,31937,32616,33249,34301,35602,37433,39554,41521,42855,44092,45657,47007,49168,52649,57023,60798,64550,66451
"0380 Uppsala","svensk bakgrund",148296,148732,149460,150059,150886,151939,153235,155197,156266,157146,158533,159542,160355,160958,161910,162891,164366,166217,167388
"0381 Enköping","utländsk bakgrund",4430,4516,4519,4638,4714,4933,5046,5264,5455,5590,5707,6047,6349,6834,7575,8129,8618,9210,9834
"0381 Enköping","svensk bakgrund",33217,33489,33692,33784,33772,33835,33932,34096,34304,34425,34642,34609,34814,35059,35413,35668,35811,36077,36406
"0382 Östhammar","utländsk bakgrund",1855,1835,1820,1795,1768,1806,1882,1960,2045,2071,2054,2096,2141,2242,2389,2486,2603,2657,2676
"0382 Östhammar","svensk bakgrund",19972,19906,19918,19813,19667,19615,19552,19431,19328,19316,19208,19256,19233,19321,19433,19441,19445,19593,19575
"0428 Vingåker","utländsk bakgrund",675,703,727,795,785,805,817,864,875,931,995,1153,1244,1282,1433,1575,1615,1630,1679
"0428 Vingåker","svensk bakgrund",8506,8476,8451,8474,8427,8277,8183,8047,8018,7893,7780,7682,7675,7671,7666,7605,7521,7481,7465
"0461 Gnesta","utländsk bakgrund",875,915,932,945,971,1033,1117,1172,1222,1246,1304,1345,1422,1516,1670,1744,1826,1895,1946
"0461 Gnesta","svensk bakgrund",8938,9087,9003,9013,9010,8998,9062,9146,9138,9099,9138,9064,9091,9133,9191,9275,9411,9470,9475
"0480 Nyköping","utländsk bakgrund",5389,5551,5619,5733,5924,6255,6424,6721,7095,7282,7571,8197,8651,9315,10023,10602,11095,11657,12097
