Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2018/19

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Herrljunga;1466;Västra Götalands län;14;Kommunal;Samtliga;93;80,6;80,6;77,4;78,5;19,4;
Hjo;1497;Västra Götalands län;14;Samtliga;Samtliga;95;83,2;82,1;82,1;81,1;16,8;
Hjo;1497;Västra Götalands län;14;Kommunal;Samtliga;95;83,2;82,1;82,1;81,1;16,8;
Hofors;2104;Gävleborgs län;21;Samtliga;Samtliga;83;81,9;80,7;79,5;79,5;18,1;
Hofors;2104;Gävleborgs län;21;Kommunal;Samtliga;83;81,9;80,7;79,5;79,5;18,1;
Huddinge;0126;Stockholms län;01;Samtliga;Samtliga;1 305;89,3;88,7;86,4;87,1;10,7;
Huddinge;0126;Stockholms län;01;Kommunal;Samtliga;1 018;87,3;86,7;84,8;85,0;12,7;
Huddinge;0126;Stockholms län;01;Enskild;Samtliga;287;96,5;95,8;92,0;94,8;3,5;
Hudiksvall;2184;Gävleborgs län;21;Samtliga;Samtliga;478;84,9;83,7;82,6;81,0;15,1;
Hudiksvall;2184;Gävleborgs län;21;Kommunal;Samtliga;380;84,5;83,7;82,4;80,8;15,5;
Hudiksvall;2184;Gävleborgs län;21;Enskild;Samtliga;98;86,7;83,7;83,7;81,6;13,3;
Hultsfred;0860;Kalmar län;08;Samtliga;Samtliga;148;71,6;70,9;67,6;68,2;28,4;
Hultsfred;0860;Kalmar län;08;Kommunal;Samtliga;113;67,3;66,4;66,4;65,5;32,7;
Hultsfred;0860;Kalmar län;08;Enskild;Samtliga;35;85,7;85,7;71,4;77,1;..;
Hylte;1315;Hallands län;13;Samtliga;Samtliga;129;70,5;69,8;69,8;62,0;29,5;
Hylte;1315;Hallands län;13;Kommunal;Samtliga;125;69,6;68,8;68,8;60,8;30,4;
Hylte;1315;Hallands län;13;Enskild;Samtliga;..;..;..;..;..;.;
Håbo;0305;Uppsala län;03;Samtliga;Samtliga;310;83,5;82,6;81,6;79,4;16,5;
Håbo;0305;Uppsala län;03;Kommunal;Samtliga;235;79,1;78,3;77,0;74,0;20,9;
Håbo;0305;Uppsala län;03;Enskild;Samtliga;75;~100;~100;~100;~100;..;
Hällefors;1863;Örebro län;18;Samtliga;Samtliga;62;85,5;85,5;85,5;74,2;..;
Hällefors;1863;Örebro län;18;Kommunal;Samtliga;62;85,5;85,5;85,5;74,2;..;
Härjedalen;2361;Jämtlands län;23;Samtliga;Samtliga;111;85,6;84,7;79,3;80,2;14,4;
Härjedalen;2361;Jämtlands län;23;Kommunal;Samtliga;111;85,6;84,7;79,3;80,2;14,4;
Härnösand;2280;Västernorrlands län;22;Samtliga;Samtliga;298;79,2;77,2;77,2;73,5;20,8;
Härnösand;2280;Västernorrlands län;22;Kommunal;Samtliga;263;77,9;76,0;76,0;71,9;22,1;
Härnösand;2280;Västernorrlands län;22;Enskild;Samtliga;35;~100;85,7;85,7;85,7;..;
Härryda;1401;Västra Götalands län;14;Samtliga;Samtliga;495;91,1;89,9;88,9;88,5;8,9;
Härryda;1401;Västra Götalands län;14;Kommunal;Samtliga;422;90,5;89,3;88,4;87,7;9,5;
Härryda;1401;Västra Götalands län;14;Enskild;Samtliga;73;~100;93,2;91,8;93,2;..;
Hässleholm;1293;Skåne län;12;Samtliga;Samtliga;643;78,7;77,9;75,3;75,9;21,3;
Hässleholm;1293;Skåne län;12;Kommunal;Samtliga;565;77,3;76,5;73,8;74,2;22,7;
Hässleholm;1293;Skåne län;12;Enskild;Samtliga;78;88,5;88,5;85,9;88,5;..;
Höganäs;1284;Skåne län;12;Samtliga;Samtliga;322;91,3;91,3;91,0;88,5;8,7;
Höganäs;1284;Skåne län;12;Kommunal;Samtliga;297;91,6;91,6;91,2;88,6;8,4;
Höganäs;1284;Skåne län;12;Enskild;Samtliga;25;~100;~100;~100;~100;..;
Högsby;0821;Kalmar län;08;Samtliga;Samtliga;66;77,3;75,8;75,8;75,8;22,7;
Högsby;0821;Kalmar län;08;Kommunal;Samtliga;66;77,3;75,8;75,8;75,8;22,7;
Hörby;1266;Skåne län;12;Samtliga;Samtliga;178;83,7;82,6;82,6;78,7;16,3;
Hörby;1266;Skåne län;12;Kommunal;Samtliga;157;81,5;80,3;80,3;77,7;18,5;
Hörby;1266;Skåne län;12;Enskild;Samtliga;21;100,0;100,0;100,0;~100;.;
Höör;1267;Skåne län;12;Samtliga;Samtliga;203;72,9;71,9;71,4;69,0;27,1;
Höör;1267;Skåne län;12;Kommunal;Samtliga;185;73,0;71,9;71,4;69,7;27,0;
Höör;1267;Skåne län;12;Enskild;Samtliga;18;72,2;72,2;72,2;61,1;..;
Jokkmokk;2510;Norrbottens län;25;Samtliga;Samtliga;46;84,8;84,8;84,8;82,6;..;
Jokkmokk;2510;Norrbottens län;25;Kommunal;Samtliga;37;86,5;86,5;86,5;83,8;..;
Jokkmokk;2510;Norrbottens län;25;Enskild;Samtliga;..;..;..;..;..;..;
Järfälla;0123;Stockholms län;01;Samtliga;Samtliga;863;85,6;84,5;83,5;82,0;14,4;
Järfälla;0123;Stockholms län;01;Kommunal;Samtliga;691;82,8;81,6;81,2;78,9;17,2;
Järfälla;0123;Stockholms län;01;Enskild;Samtliga;172;97,1;95,9;93,0;94,8;..;
Jönköping;0680;Jönköpings län;06;Samtliga;Samtliga;1 535;88,2;87,6;86,0;85,7;11,8;
Jönköping;0680;Jönköpings län;06;Kommunal;Samtliga;1 239;88,5;87,8;86,5;86,4;11,5;
Jönköping;0680;Jönköpings län;06;Enskild;Samtliga;296;87,2;86,5;83,8;82,8;12,8;
Kalix;2514;Norrbottens län;25;Samtliga;Samtliga;166;84,9;83,1;81,3;81,3;15,1;
Kalix;2514;Norrbottens län;25;Kommunal;Samtliga;152;86,2;84,2;83,6;82,2;13,8;
Kalix;2514;Norrbottens län;25;Enskild;Samtliga;14;~100;~100;..;~100;..;
Kalmar;0880;Kalmar län;08;Samtliga;Samtliga;711;89,3;88,7;87,5;87,2;10,7;
Kalmar;0880;Kalmar län;08;Kommunal;Samtliga;585;88,2;87,5;86,7;86,2;11,8;
Kalmar;0880;Kalmar län;08;Enskild;Samtliga;126;94,4;94,4;91,3;92,1;..;
Karlsborg;1446;Västra Götalands län;14;Samtliga;Samtliga;66;90,9;87,9;86,4;86,4;..;
Karlsborg;1446;Västra Götalands län;14;Kommunal;Samtliga;66;90,9;87,9;86,4;86,4;..;
Karlshamn;1082;Blekinge län;10;Samtliga;Samtliga;406;77,8;76,4;73,4;74,1;22,2;
Karlshamn;1082;Blekinge län;10;Kommunal;Samtliga;340;75,0;73,2;69,7;70,6;25,0;
Karlshamn;1082;Blekinge län;10;Enskild;Samtliga;66;92,4;92,4;92,4;92,4;..;
Karlskoga;1883;Örebro län;18;Samtliga;Samtliga;357;69,5;67,5;67,2;64,7;30,5;
Karlskoga;1883;Örebro län;18;Kommunal;Samtliga;357;69,5;67,5;67,2;64,7;30,5;
Karlskrona;1080;Blekinge län;10;Samtliga;Samtliga;800;84,4;83,6;82,6;80,3;15,6;
Karlskrona;1080;Blekinge län;10;Kommunal;Samtliga;577;82,5;81,8;80,4;78,2;17,5;
Karlskrona;1080;Blekinge län;10;Enskild;Samtliga;223;89,2;88,3;88,3;85,7;10,8;
Karlstad;1780;Värmlands län;17;Samtliga;Samtliga;961;89,5;89,0;87,7;86,5;10,5;
Karlstad;1780;Värmlands län;17;Kommunal;Samtliga;760;87,6;87,2;85,8;84,1;12,4;
Karlstad;1780;Värmlands län;17;Enskild;Samtliga;201;96,5;95,5;95,0;95,5;..;
Katrineholm;0483;Södermanlands län;04;Samtliga;Samtliga;440;72,5;72,0;70,7;69,8;27,5;
Katrineholm;0483;Södermanlands län;04;Kommunal;Samtliga;355;67,0;66,5;64,8;63,9;33,0;
Katrineholm;0483;Södermanlands län;04;Enskild;Samtliga;85;~100;~100;~100;94,1;..;
Kil;1715;Värmlands län;17;Samtliga;Samtliga;124;71,8;71,0;69,4;66,9;28,2;
Kil;1715;Värmlands län;17;Kommunal;Samtliga;124;71,8;71,0;69,4;66,9;28,2;
Kinda;0513;Östergötlands län;05;Samtliga;Samtliga;117;83,8;83,8;82,1;83,8;16,2;
Kinda;0513;Östergötlands län;05;Kommunal;Samtliga;117;83,8;83,8;82,1;83,8;16,2;
Kiruna;2584;Norrbottens län;25;Samtliga;Samtliga;226;80,1;80,1;79,2;77,0;19,9;
Kiruna;2584;Norrbottens län;25;Kommunal;Samtliga;202;78,2;78,2;77,2;75,2;21,8;
Kiruna;2584;Norrbottens län;25;Enskild;Samtliga;24;~100;~100;~100;~100;..;
Klippan;1276;Skåne län;12;Samtliga;Samtliga;195;74,9;74,4;70,8;71,8;25,1;
