Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2018/19

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Ale;1440;Västra Götalands län;14;Samtliga;Samtliga;347;87,6;86,5;83,3;82,4;12,4;
Ale;1440;Västra Götalands län;14;Kommunal;Samtliga;322;87,0;85,7;82,3;81,4;13,0;
Ale;1440;Västra Götalands län;14;Enskild;Samtliga;25;~100;~100;~100;~100;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;Samtliga;514;86,6;85,8;85,6;82,9;13,4;
Alingsås;1489;Västra Götalands län;14;Kommunal;Samtliga;413;84,5;83,8;83,5;80,6;15,5;
Alingsås;1489;Västra Götalands län;14;Enskild;Samtliga;101;95,0;94,1;94,1;92,1;..;
Alvesta;0764;Kronobergs län;07;Samtliga;Samtliga;230;77,0;75,7;71,7;70,4;23,0;
Alvesta;0764;Kronobergs län;07;Kommunal;Samtliga;230;77,0;75,7;71,7;70,4;23,0;
Aneby;0604;Jönköpings län;06;Samtliga;Samtliga;72;86,1;86,1;84,7;84,7;13,9;
Aneby;0604;Jönköpings län;06;Kommunal;Samtliga;71;87,3;87,3;85,9;85,9;..;
Aneby;0604;Jönköpings län;06;Enskild;Samtliga;..;.;.;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;Samtliga;170;83,5;81,8;81,2;78,2;16,5;
Arboga;1984;Västmanlands län;19;Kommunal;Samtliga;170;83,5;81,8;81,2;78,2;16,5;
Arjeplog;2506;Norrbottens län;25;Samtliga;Samtliga;28;~100;~100;~100;~100;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Samtliga;28;~100;~100;~100;~100;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Samtliga;63;~100;92,1;92,1;90,5;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Samtliga;63;~100;92,1;92,1;90,5;..;
Arvika;1784;Värmlands län;17;Samtliga;Samtliga;277;85,6;84,5;84,5;80,1;14,4;
Arvika;1784;Värmlands län;17;Kommunal;Samtliga;228;85,5;84,6;84,6;79,8;14,5;
Arvika;1784;Värmlands län;17;Enskild;Samtliga;49;85,7;83,7;83,7;81,6;..;
Askersund;1882;Örebro län;18;Samtliga;Samtliga;117;80,3;77,8;77,8;72,6;19,7;
Askersund;1882;Örebro län;18;Kommunal;Samtliga;117;80,3;77,8;77,8;72,6;19,7;
Avesta;2084;Dalarnas län;20;Samtliga;Samtliga;223;72,2;71,7;68,2;66,8;27,8;
Avesta;2084;Dalarnas län;20;Kommunal;Samtliga;223;72,2;71,7;68,2;66,8;27,8;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Samtliga;115;67,0;67,0;67,0;66,1;33,0;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Samtliga;115;67,0;67,0;67,0;66,1;33,0;
Berg;2326;Jämtlands län;23;Samtliga;Samtliga;87;79,3;79,3;79,3;78,2;20,7;
Berg;2326;Jämtlands län;23;Kommunal;Samtliga;87;79,3;79,3;79,3;78,2;20,7;
Bjurholm;2403;Västerbottens län;24;Samtliga;Samtliga;28;75,0;71,4;71,4;71,4;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;Samtliga;28;75,0;71,4;71,4;71,4;..;
Bjuv;1260;Skåne län;12;Samtliga;Samtliga;183;79,2;76,0;73,2;74,9;20,8;
Bjuv;1260;Skåne län;12;Kommunal;Samtliga;183;79,2;76,0;73,2;74,9;20,8;
Boden;2582;Norrbottens län;25;Samtliga;Samtliga;271;84,5;84,1;83,4;80,8;15,5;
Boden;2582;Norrbottens län;25;Kommunal;Samtliga;204;82,4;81,9;81,9;79,4;17,6;
Boden;2582;Norrbottens län;25;Enskild;Samtliga;67;91,0;91,0;88,1;85,1;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Samtliga;120;90,0;87,5;86,7;85,8;10,0;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Samtliga;120;90,0;87,5;86,7;85,8;10,0;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Samtliga;306;81,4;80,7;77,5;80,4;18,6;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Samtliga;187;71,7;70,6;66,3;70,1;28,3;
Bollnäs;2183;Gävleborgs län;21;Enskild;Samtliga;119;~100;~100;95,0;~100;..;
Borgholm;0885;Kalmar län;08;Samtliga;Samtliga;90;74,4;73,3;73,3;70,0;25,6;
Borgholm;0885;Kalmar län;08;Kommunal;Samtliga;90;74,4;73,3;73,3;70,0;25,6;
Borlänge;2081;Dalarnas län;20;Samtliga;Samtliga;681;71,5;70,5;68,1;65,5;28,5;
Borlänge;2081;Dalarnas län;20;Kommunal;Samtliga;579;70,5;69,3;66,8;63,4;29,5;
Borlänge;2081;Dalarnas län;20;Enskild;Samtliga;102;77,5;77,5;75,5;77,5;22,5;
Borås;1490;Västra Götalands län;14;Samtliga;Samtliga;1 259;82,7;81,3;79,7;78,5;17,3;
Borås;1490;Västra Götalands län;14;Kommunal;Samtliga;1 046;79,9;78,5;77,2;75,2;20,1;
Borås;1490;Västra Götalands län;14;Enskild;Samtliga;213;96,2;94,8;92,5;94,4;..;
Botkyrka;0127;Stockholms län;01;Samtliga;Samtliga;992;83,5;82,4;79,2;78,6;16,5;
Botkyrka;0127;Stockholms län;01;Kommunal;Samtliga;842;83,4;82,3;79,5;79,0;16,6;
Botkyrka;0127;Stockholms län;01;Enskild;Samtliga;150;84,0;82,7;78,0;76,7;16,0;
Boxholm;0560;Östergötlands län;05;Samtliga;Samtliga;46;87,0;87,0;84,8;87,0;..;
Boxholm;0560;Östergötlands län;05;Kommunal;Samtliga;46;87,0;87,0;84,8;87,0;..;
Bromölla;1272;Skåne län;12;Samtliga;Samtliga;124;75,8;75,8;75,0;74,2;24,2;
Bromölla;1272;Skåne län;12;Kommunal;Samtliga;124;75,8;75,8;75,0;74,2;24,2;
Bräcke;2305;Jämtlands län;23;Samtliga;Samtliga;69;73,9;72,5;72,5;66,7;26,1;
Bräcke;2305;Jämtlands län;23;Kommunal;Samtliga;69;73,9;72,5;72,5;66,7;26,1;
Burlöv;1231;Skåne län;12;Samtliga;Samtliga;158;79,1;77,8;76,6;75,9;20,9;
Burlöv;1231;Skåne län;12;Kommunal;Samtliga;158;79,1;77,8;76,6;75,9;20,9;
Båstad;1278;Skåne län;12;Samtliga;Samtliga;154;85,1;84,4;79,9;83,8;14,9;
Båstad;1278;Skåne län;12;Kommunal;Samtliga;154;85,1;84,4;79,9;83,8;14,9;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Samtliga;53;84,9;84,9;81,1;83,0;..;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Samtliga;53;84,9;84,9;81,1;83,0;..;
Danderyd;0162;Stockholms län;01;Samtliga;Samtliga;527;96,6;96,0;95,8;94,5;3,4;
Danderyd;0162;Stockholms län;01;Kommunal;Samtliga;342;95,3;94,7;94,4;92,7;4,7;
Danderyd;0162;Stockholms län;01;Enskild;Samtliga;185;~100;~100;~100;~100;..;
Degerfors;1862;Örebro län;18;Samtliga;Samtliga;109;79,8;78,9;77,1;62,4;20,2;
Degerfors;1862;Örebro län;18;Kommunal;Samtliga;109;79,8;78,9;77,1;62,4;20,2;
Eda;1730;Värmlands län;17;Samtliga;Samtliga;67;88,1;88,1;86,6;83,6;..;
Eda;1730;Värmlands län;17;Kommunal;Samtliga;67;88,1;88,1;86,6;83,6;..;
Ekerö;0125;Stockholms län;01;Samtliga;Samtliga;383;91,6;90,9;89,3;90,1;8,4;
Ekerö;0125;Stockholms län;01;Kommunal;Samtliga;342;90,9;90,1;88,3;89,2;9,1;
Ekerö;0125;Stockholms län;01;Enskild;Samtliga;41;~100;~100;~100;~100;..;
Eksjö;0686;Jönköpings län;06;Samtliga;Samtliga;233;76,8;75,5;75,1;70,4;23,2;
Eksjö;0686;Jönköpings län;06;Kommunal;Samtliga;222;78,8;77,9;77,5;73,9;21,2;
Eksjö;0686;Jönköpings län;06;Enskild;Samtliga;11;..;..;..;.;..;
Emmaboda;0862;Kalmar län;08;Samtliga;Samtliga;102;75,5;75,5;72,5;69,6;24,5;
Emmaboda;0862;Kalmar län;08;Kommunal;Samtliga;102;75,5;75,5;72,5;69,6;24,5;
Enköping;0381;Uppsala län;03;Samtliga;Samtliga;522;86,4;83,9;81,6;79,1;13,6;
Enköping;0381;Uppsala län;03;Kommunal;Samtliga;355;82,8;80,6;78,3;74,6;17,2;
Enköping;0381;Uppsala län;03;Enskild;Samtliga;167;94,0;91,0;88,6;88,6;6,0;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Samtliga;1 274;79,8;78,3;77,5;75,1;20,2;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Samtliga;1 034;76,8;75,0;74,2;71,5;23,2;
Eskilstuna;0484;Södermanlands län;04;Enskild;Samtliga;240;92,9;92,1;91,7;90,8;7,1;
Eslöv;1285;Skåne län;12;Samtliga;Samtliga;387;83,5;82,7;80,4;79,1;16,5;
Eslöv;1285;Skåne län;12;Kommunal;Samtliga;387;83,5;82,7;80,4;79,1;16,5;
Essunga;1445;Västra Götalands län;14;Samtliga;Samtliga;69;84,1;81,2;76,8;78,3;15,9;
Essunga;1445;Västra Götalands län;14;Kommunal;Samtliga;69;84,1;81,2;76,8;78,3;15,9;
Fagersta;1982;Västmanlands län;19;Samtliga;Samtliga;136;75,7;74,3;69,9;73,5;24,3;
Fagersta;1982;Västmanlands län;19;Kommunal;Samtliga;104;76,0;75,0;69,2;75,0;24,0;
Fagersta;1982;Västmanlands län;19;Enskild;Samtliga;32;75,0;71,9;71,9;68,8;..;
Falkenberg;1382;Hallands län;13;Samtliga;Samtliga;508;80,7;79,7;79,7;78,5;19,3;
Falkenberg;1382;Hallands län;13;Kommunal;Samtliga;417;77,2;76,3;76,3;75,1;22,8;
Falkenberg;1382;Hallands län;13;Enskild;Samtliga;91;~100;~100;~100;94,5;..;
Falköping;1499;Västra Götalands län;14;Samtliga;Samtliga;428;79,2;78,3;77,6;75,0;20,8;
Falköping;1499;Västra Götalands län;14;Kommunal;Samtliga;409;80,0;79,0;78,2;75,8;20,0;
Falköping;1499;Västra Götalands län;14;Enskild;Samtliga;19;63,2;63,2;63,2;57,9;..;
Falun;2080;Dalarnas län;20;Samtliga;Samtliga;681;86,2;85,0;83,6;81,2;13,8;
Falun;2080;Dalarnas län;20;Kommunal;Samtliga;501;83,6;82,4;81,2;78,4;16,4;
Falun;2080;Dalarnas län;20;Enskild;Samtliga;180;93,3;92,2;90,0;88,9;6,7;
Filipstad;1782;Värmlands län;17;Samtliga;Samtliga;134;88,1;85,1;85,1;82,8;11,9;
Filipstad;1782;Värmlands län;17;Kommunal;Samtliga;134;88,1;85,1;85,1;82,8;11,9;
Finspång;0562;Östergötlands län;05;Samtliga;Samtliga;228;85,1;83,3;81,1;80,7;14,9;
Finspång;0562;Östergötlands län;05;Kommunal;Samtliga;228;85,1;83,3;81,1;80,7;14,9;
Flen;0482;Södermanlands län;04;Samtliga;Samtliga;181;71,8;70,7;70,2;68,5;28,2;
Flen;0482;Södermanlands län;04;Kommunal;Samtliga;116;69,8;69,0;69,0;65,5;30,2;
Flen;0482;Södermanlands län;04;Enskild;Samtliga;65;75,4;73,8;72,3;73,8;24,6;
Forshaga;1763;Värmlands län;17;Samtliga;Samtliga;155;77,4;76,8;76,1;76,1;22,6;
Forshaga;1763;Värmlands län;17;Kommunal;Samtliga;155;77,4;76,8;76,1;76,1;22,6;
Färgelanda;1439;Västra Götalands län;14;Samtliga;Samtliga;60;73,3;71,7;71,7;70,0;26,7;
Färgelanda;1439;Västra Götalands län;14;Kommunal;Samtliga;60;73,3;71,7;71,7;70,0;26,7;
Gagnef;2026;Dalarnas län;20;Samtliga;Samtliga;127;89,8;86,6;85,8;85,0;10,2;
Gagnef;2026;Dalarnas län;20;Kommunal;Samtliga;127;89,8;86,6;85,8;85,0;10,2;
Gislaved;0662;Jönköpings län;06;Samtliga;Samtliga;395;76,7;75,4;72,7;70,6;23,3;
Gislaved;0662;Jönköpings län;06;Kommunal;Samtliga;385;76,4;75,1;72,2;70,1;23,6;
Gislaved;0662;Jönköpings län;06;Enskild;Samtliga;10;..;..;..;..;..;
Gnesta;0461;Södermanlands län;04;Samtliga;Samtliga;135;83,7;80,0;73,3;76,3;16,3;
Gnesta;0461;Södermanlands län;04;Kommunal;Samtliga;128;82,8;78,9;71,9;75,0;17,2;
Gnesta;0461;Södermanlands län;04;Enskild;Samtliga;..;..;..;..;..;.;
Gnosjö;0617;Jönköpings län;06;Samtliga;Samtliga;120;73,3;73,3;72,5;71,7;26,7;
Gnosjö;0617;Jönköpings län;06;Kommunal;Samtliga;120;73,3;73,3;72,5;71,7;26,7;
Gotland;0980;Gotlands län;09;Samtliga;Samtliga;611;85,1;84,5;82,3;83,1;14,9;
Gotland;0980;Gotlands län;09;Kommunal;Samtliga;523;83,7;83,0;80,7;81,5;16,3;
Gotland;0980;Gotlands län;09;Enskild;Samtliga;88;93,2;93,2;92,0;93,2;..;
Grums;1764;Värmlands län;17;Samtliga;Samtliga;78;75,6;75,6;74,4;75,6;24,4;
Grums;1764;Värmlands län;17;Kommunal;Samtliga;78;75,6;75,6;74,4;75,6;24,4;
Grästorp;1444;Västra Götalands län;14;Samtliga;Samtliga;62;~100;~100;91,9;~100;..;
Grästorp;1444;Västra Götalands län;14;Kommunal;Samtliga;62;~100;~100;91,9;~100;..;
Gullspång;1447;Västra Götalands län;14;Samtliga;Samtliga;68;80,9;77,9;77,9;73,5;19,1;
Gullspång;1447;Västra Götalands län;14;Kommunal;Samtliga;68;80,9;77,9;77,9;73,5;19,1;
Gällivare;2523;Norrbottens län;25;Samtliga;Samtliga;170;85,3;83,5;81,2;82,4;14,7;
Gällivare;2523;Norrbottens län;25;Kommunal;Samtliga;147;83,0;81,0;78,2;79,6;17,0;
Gällivare;2523;Norrbottens län;25;Enskild;Samtliga;23;100,0;100,0;100,0;100,0;.;
Gävle;2180;Gävleborgs län;21;Samtliga;Samtliga;1 201;82,7;81,0;79,0;76,9;17,3;
Gävle;2180;Gävleborgs län;21;Kommunal;Samtliga;781;78,7;76,4;73,6;72,5;21,3;
Gävle;2180;Gävleborgs län;21;Enskild;Samtliga;420;90,0;89,5;89,0;85,0;10,0;
Göteborg;1480;Västra Götalands län;14;Samtliga;Samtliga;5 530;80,7;80,2;78,9;78,2;19,3;
Göteborg;1480;Västra Götalands län;14;Kommunal;Samtliga;3 600;75,6;75,0;73,8;72,6;24,4;
Göteborg;1480;Västra Götalands län;14;Enskild;Samtliga;1 930;90,6;90,2;88,8;88,8;9,4;
Götene;1471;Västra Götalands län;14;Samtliga;Samtliga;130;83,1;83,1;81,5;82,3;16,9;
Götene;1471;Västra Götalands län;14;Kommunal;Samtliga;130;83,1;83,1;81,5;82,3;16,9;
Habo;0643;Jönköpings län;06;Samtliga;Samtliga;164;88,4;87,2;86,6;83,5;11,6;
Habo;0643;Jönköpings län;06;Kommunal;Samtliga;164;88,4;87,2;86,6;83,5;11,6;
Hagfors;1783;Värmlands län;17;Samtliga;Samtliga;112;78,6;78,6;72,3;75,9;21,4;
Hagfors;1783;Värmlands län;17;Kommunal;Samtliga;112;78,6;78,6;72,3;75,9;21,4;
Hallsberg;1861;Örebro län;18;Samtliga;Samtliga;166;69,9;69,9;69,9;65,1;30,1;
Hallsberg;1861;Örebro län;18;Kommunal;Samtliga;166;69,9;69,9;69,9;65,1;30,1;
Hallstahammar;1961;Västmanlands län;19;Samtliga;Samtliga;162;85,2;82,1;81,5;77,8;14,8;
Hallstahammar;1961;Västmanlands län;19;Kommunal;Samtliga;162;85,2;82,1;81,5;77,8;14,8;
Halmstad;1380;Hallands län;13;Samtliga;Samtliga;1 110;82,5;81,8;80,6;79,9;17,5;
Halmstad;1380;Hallands län;13;Kommunal;Samtliga;924;80,5;79,7;78,2;77,4;19,5;
Halmstad;1380;Hallands län;13;Enskild;Samtliga;186;92,5;92,5;92,5;92,5;7,5;
Hammarö;1761;Värmlands län;17;Samtliga;Samtliga;182;93,4;92,3;90,7;90,7;6,6;
Hammarö;1761;Värmlands län;17;Kommunal;Samtliga;182;93,4;92,3;90,7;90,7;6,6;
Haninge;0136;Stockholms län;01;Samtliga;Samtliga;935;86,5;84,8;82,5;81,6;13,5;
Haninge;0136;Stockholms län;01;Kommunal;Samtliga;772;86,0;84,3;82,3;81,9;14,0;
Haninge;0136;Stockholms län;01;Enskild;Samtliga;163;89,0;87,1;83,4;80,4;11,0;
Haparanda;2583;Norrbottens län;25;Samtliga;Samtliga;123;72,4;72,4;71,5;70,7;27,6;
Haparanda;2583;Norrbottens län;25;Kommunal;Samtliga;123;72,4;72,4;71,5;70,7;27,6;
Heby;0331;Uppsala län;03;Samtliga;Samtliga;142;76,1;75,4;73,2;69,7;23,9;
Heby;0331;Uppsala län;03;Kommunal;Samtliga;142;76,1;75,4;73,2;69,7;23,9;
Hedemora;2083;Dalarnas län;20;Samtliga;Samtliga;188;74,5;73,9;71,8;72,9;25,5;
Hedemora;2083;Dalarnas län;20;Kommunal;Samtliga;132;72,7;72,0;68,9;71,2;27,3;
Hedemora;2083;Dalarnas län;20;Enskild;Samtliga;56;78,6;78,6;78,6;76,8;21,4;
Helsingborg;1283;Skåne län;12;Samtliga;Samtliga;1 598;83,5;82,8;82,1;81,8;16,5;
Helsingborg;1283;Skåne län;12;Kommunal;Samtliga;1 096;82,1;81,4;80,5;80,5;17,9;
Helsingborg;1283;Skåne län;12;Enskild;Samtliga;502;86,7;85,9;85,3;84,7;13,3;
Herrljunga;1466;Västra Götalands län;14;Samtliga;Samtliga;93;80,6;80,6;77,4;78,5;19,4;
