Statistik från Skolverket, http://www.skolverket.se

Grundskolan - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2017/18

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel elever (%) behöriga till yrkesprogram;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;Andel elever (%) ej behöriga;
Ale;1440;Västra Götalands län;14;Samtliga;Samtliga;389;85,6;85,1;83,0;82,8;14,4;
Ale;1440;Västra Götalands län;14;Kommunal;Samtliga;344;84,0;83,4;81,4;80,8;16,0;
Ale;1440;Västra Götalands län;14;Enskild;Samtliga;45;~100;~100;~100;~100;..;
Alingsås;1489;Västra Götalands län;14;Samtliga;Samtliga;488;87,5;86,1;85,7;82,8;12,5;
Alingsås;1489;Västra Götalands län;14;Kommunal;Samtliga;387;85,5;84,2;83,7;81,7;14,5;
Alingsås;1489;Västra Götalands län;14;Enskild;Samtliga;101;95,0;93,1;93,1;87,1;..;
Alvesta;0764;Kronobergs län;07;Samtliga;Samtliga;248;69,8;68,1;65,7;64,9;30,2;
Alvesta;0764;Kronobergs län;07;Kommunal;Samtliga;248;69,8;68,1;65,7;64,9;30,2;
Aneby;0604;Jönköpings län;06;Samtliga;Samtliga;82;84,1;82,9;81,7;82,9;15,9;
Aneby;0604;Jönköpings län;06;Kommunal;Samtliga;81;85,2;84,0;82,7;84,0;14,8;
Aneby;0604;Jönköpings län;06;Enskild;Samtliga;..;.;.;.;.;..;
Arboga;1984;Västmanlands län;19;Samtliga;Samtliga;156;87,8;87,8;87,2;84,0;12,2;
Arboga;1984;Västmanlands län;19;Kommunal;Samtliga;156;87,8;87,8;87,2;84,0;12,2;
Arjeplog;2506;Norrbottens län;25;Samtliga;Samtliga;37;75,7;75,7;75,7;73,0;..;
Arjeplog;2506;Norrbottens län;25;Kommunal;Samtliga;37;75,7;75,7;75,7;73,0;..;
Arvidsjaur;2505;Norrbottens län;25;Samtliga;Samtliga;52;90,4;90,4;90,4;88,5;..;
Arvidsjaur;2505;Norrbottens län;25;Kommunal;Samtliga;52;90,4;90,4;90,4;88,5;..;
Arvika;1784;Värmlands län;17;Samtliga;Samtliga;278;86,0;84,9;84,2;82,0;14,0;
Arvika;1784;Värmlands län;17;Kommunal;Samtliga;227;84,1;82,8;81,9;79,7;15,9;
Arvika;1784;Värmlands län;17;Enskild;Samtliga;51;~100;~100;~100;~100;..;
Askersund;1882;Örebro län;18;Samtliga;Samtliga;97;89,7;88,7;83,5;82,5;10,3;
Askersund;1882;Örebro län;18;Kommunal;Samtliga;97;89,7;88,7;83,5;82,5;10,3;
Avesta;2084;Dalarnas län;20;Samtliga;Samtliga;227;65,6;65,6;64,8;63,9;34,4;
Avesta;2084;Dalarnas län;20;Kommunal;Samtliga;227;65,6;65,6;64,8;63,9;34,4;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Samtliga;87;75,9;75,9;74,7;75,9;24,1;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Samtliga;87;75,9;75,9;74,7;75,9;24,1;
Berg;2326;Jämtlands län;23;Samtliga;Samtliga;81;79,0;79,0;79,0;77,8;21,0;
Berg;2326;Jämtlands län;23;Kommunal;Samtliga;81;79,0;79,0;79,0;77,8;21,0;
Bjurholm;2403;Västerbottens län;24;Samtliga;Samtliga;28;71,4;71,4;71,4;71,4;..;
Bjurholm;2403;Västerbottens län;24;Kommunal;Samtliga;28;71,4;71,4;71,4;71,4;..;
Bjuv;1260;Skåne län;12;Samtliga;Samtliga;179;79,9;78,8;73,7;76,0;20,1;
Bjuv;1260;Skåne län;12;Kommunal;Samtliga;179;79,9;78,8;73,7;76,0;20,1;
Boden;2582;Norrbottens län;25;Samtliga;Samtliga;324;82,4;80,9;79,0;79,6;17,6;
Boden;2582;Norrbottens län;25;Kommunal;Samtliga;243;80,2;78,2;75,7;77,0;19,8;
Boden;2582;Norrbottens län;25;Enskild;Samtliga;81;88,9;88,9;88,9;87,7;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Samtliga;104;93,3;93,3;93,3;91,3;..;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Samtliga;104;93,3;93,3;93,3;91,3;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Samtliga;316;79,1;77,5;77,2;75,3;20,9;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Samtliga;183;67,2;64,5;63,9;60,7;32,8;
Bollnäs;2183;Gävleborgs län;21;Enskild;Samtliga;133;95,5;95,5;95,5;95,5;..;
Borgholm;0885;Kalmar län;08;Samtliga;Samtliga;88;86,4;84,1;81,8;77,3;13,6;
Borgholm;0885;Kalmar län;08;Kommunal;Samtliga;88;86,4;84,1;81,8;77,3;13,6;
Borlänge;2081;Dalarnas län;20;Samtliga;Samtliga;669;77,3;75,2;71,7;70,9;22,7;
Borlänge;2081;Dalarnas län;20;Kommunal;Samtliga;582;75,4;73,4;69,8;68,4;24,6;
Borlänge;2081;Dalarnas län;20;Enskild;Samtliga;87;89,7;87,4;85,1;87,4;..;
Borås;1490;Västra Götalands län;14;Samtliga;Samtliga;1 255;82,9;82,2;80,6;79,8;17,1;
Borås;1490;Västra Götalands län;14;Kommunal;Samtliga;1 026;80,0;79,2;77,4;76,3;20,0;
Borås;1490;Västra Götalands län;14;Enskild;Samtliga;229;96,1;95,6;95,2;95,2;..;
Botkyrka;0127;Stockholms län;01;Samtliga;Samtliga;942;83,0;81,3;78,7;76,5;17,0;
Botkyrka;0127;Stockholms län;01;Kommunal;Samtliga;811;81,8;80,1;77,1;75,3;18,2;
Botkyrka;0127;Stockholms län;01;Enskild;Samtliga;131;90,8;88,5;88,5;84,0;9,2;
Boxholm;0560;Östergötlands län;05;Samtliga;Samtliga;48;77,1;75,0;72,9;70,8;22,9;
Boxholm;0560;Östergötlands län;05;Kommunal;Samtliga;48;77,1;75,0;72,9;70,8;22,9;
Bromölla;1272;Skåne län;12;Samtliga;Samtliga;145;80,0;77,9;77,2;77,2;20,0;
Bromölla;1272;Skåne län;12;Kommunal;Samtliga;145;80,0;77,9;77,2;77,2;20,0;
Bräcke;2305;Jämtlands län;23;Samtliga;Samtliga;76;75,0;72,4;69,7;65,8;25,0;
Bräcke;2305;Jämtlands län;23;Kommunal;Samtliga;76;75,0;72,4;69,7;65,8;25,0;
Burlöv;1231;Skåne län;12;Samtliga;Samtliga;174;75,3;74,7;70,1;69,0;24,7;
Burlöv;1231;Skåne län;12;Kommunal;Samtliga;174;75,3;74,7;70,1;69,0;24,7;
